,Feature,score,Absolute_Score
156,Feature_157,0.0554963116251528,0.0554963116251528
94,Feature_95,0.0488870664932918,0.0488870664932918
194,Feature_195,0.0428513568295024,0.0428513568295024
90,Feature_91,0.0413015805031478,0.0413015805031478
199,Feature_200,0.0407919751238498,0.0407919751238498
119,Feature_120,0.0388203481881676,0.0388203481881676
113,Feature_114,0.0387165978508305,0.0387165978508305
74,Feature_75,0.0385235941175857,0.0385235941175857
111,Feature_112,0.0374832686253959,0.0374832686253959
187,Feature_188,0.0346864169907412,0.0346864169907412
169,Feature_170,0.0333392588519805,0.0333392588519805
173,Feature_174,0.0331849627443462,0.0331849627443462
75,Feature_76,0.0331126876499258,0.0331126876499258
98,Feature_99,0.0328665789232118,0.0328665789232118
0,Feature_1,0.0310711400406218,0.0310711400406218
97,Feature_98,0.0307817306117506,0.0307817306117506
129,Feature_130,0.0288152205294483,0.0288152205294483
21,Feature_22,0.0282769647854515,0.0282769647854515
100,Feature_101,0.0281329696528407,0.0281329696528407
126,Feature_127,0.0267626185963041,0.0267626185963041
13,Feature_14,0.0267400279113156,0.0267400279113156
57,Feature_58,0.0262385120958399,0.0262385120958399
40,Feature_41,0.026004423437158,0.026004423437158
175,Feature_176,0.0259739961471951,0.0259739961471951
64,Feature_65,0.025740607990309,0.025740607990309
20,Feature_21,0.0252796905256161,0.0252796905256161
123,Feature_124,0.0247922865177296,0.0247922865177296
72,Feature_73,0.0247562855978039,0.0247562855978039
93,Feature_94,0.0246172408461007,0.0246172408461007
24,Feature_25,0.0244905335564162,0.0244905335564162
181,Feature_182,0.0242917529798657,0.0242917529798657
45,Feature_46,0.0242044054348998,0.0242044054348998
189,Feature_190,0.0241588367135336,0.0241588367135336
197,Feature_198,0.0237406577999202,0.0237406577999202
63,Feature_64,0.0235781851877493,0.0235781851877493
4,Feature_5,0.023064681360513,0.023064681360513
30,Feature_31,0.0225242737704082,0.0225242737704082
174,Feature_175,0.0220560169251729,0.0220560169251729
38,Feature_39,0.0220237483539211,0.0220237483539211
162,Feature_163,0.0219705088651077,0.0219705088651077
116,Feature_117,0.0218552226528099,0.0218552226528099
84,Feature_85,0.0215138881480534,0.0215138881480534
88,Feature_89,0.0211743585280857,0.0211743585280857
153,Feature_154,0.0207403514768741,0.0207403514768741
22,Feature_23,0.0207270215998445,0.0207270215998445
54,Feature_55,0.0207128424897959,0.0207128424897959
157,Feature_158,0.0206113189535038,0.0206113189535038
118,Feature_119,0.0205805267534476,0.0205805267534476
101,Feature_102,0.0201453924514516,0.0201453924514516
50,Feature_51,0.0201450902138183,0.0201450902138183
27,Feature_28,0.0200649508055788,0.0200649508055788
96,Feature_97,0.0200351364297045,0.0200351364297045
135,Feature_136,0.0199177480919807,0.0199177480919807
49,Feature_50,0.0197500016774459,0.0197500016774459
16,Feature_17,0.0194747713222184,0.0194747713222184
19,Feature_20,0.0190564478770219,0.0190564478770219
139,Feature_140,0.018919561997276,0.018919561997276
9,Feature_10,0.0188040615782796,0.0188040615782796
134,Feature_135,0.0185147101914976,0.0185147101914976
196,Feature_197,0.0184773273470565,0.0184773273470565
161,Feature_162,0.0184698278724956,0.0184698278724956
114,Feature_115,0.0182081952085886,0.0182081952085886
149,Feature_150,0.0178586609034538,0.0178586609034538
103,Feature_104,0.0178566191344927,0.0178566191344927
29,Feature_30,0.0176632905646241,0.0176632905646241
170,Feature_171,0.0169663609499793,0.0169663609499793
132,Feature_133,0.0167891939506147,0.0167891939506147
48,Feature_49,0.0167651484894797,0.0167651484894797
152,Feature_153,0.0166969406068235,0.0166969406068235
86,Feature_87,0.0166850664222955,0.0166850664222955
146,Feature_147,0.0164836824934876,0.0164836824934876
125,Feature_126,0.0162754410397668,0.0162754410397668
68,Feature_69,0.0161490525736609,0.0161490525736609
184,Feature_185,0.0158708655204041,0.0158708655204041
168,Feature_169,0.0156702972590809,0.0156702972590809
131,Feature_132,0.0150116125158688,0.0150116125158688
46,Feature_47,0.0149057281799107,0.0149057281799107
141,Feature_142,0.0147037733172227,0.0147037733172227
195,Feature_196,0.0146278459892143,0.0146278459892143
5,Feature_6,0.0145901675038442,0.0145901675038442
117,Feature_118,0.0145705210593085,0.0145705210593085
58,Feature_59,0.0142591503181935,0.0142591503181935
140,Feature_141,0.0142413544105439,0.0142413544105439
85,Feature_86,0.0141898898158481,0.0141898898158481
78,Feature_79,0.0140695224151103,0.0140695224151103
176,Feature_177,0.0136589909815514,0.0136589909815514
112,Feature_113,0.013501680071467,0.013501680071467
128,Feature_129,0.0133614739032974,0.0133614739032974
185,Feature_186,0.0133195111173356,0.0133195111173356
115,Feature_116,0.0132361070442165,0.0132361070442165
107,Feature_108,0.012919426112225,0.012919426112225
136,Feature_137,0.0127840382619669,0.0127840382619669
182,Feature_183,0.0125575047836142,0.0125575047836142
83,Feature_84,0.0123270217678573,0.0123270217678573
143,Feature_144,0.0119858658258535,0.0119858658258535
121,Feature_122,0.0118929915249351,0.0118929915249351
60,Feature_61,0.0117853937815044,0.0117853937815044
160,Feature_161,0.0116466091111806,0.0116466091111806
164,Feature_165,0.0114577012909728,0.0114577012909728
120,Feature_121,0.0113267280061282,0.0113267280061282
28,Feature_29,0.0113174463297141,0.0113174463297141
1,Feature_2,0.0112309465141206,0.0112309465141206
137,Feature_138,0.0111441963196768,0.0111441963196768
10,Feature_11,0.0110624808334069,0.0110624808334069
53,Feature_54,0.0110245027901385,0.0110245027901385
23,Feature_24,0.0107763120901901,0.0107763120901901
47,Feature_48,0.010756083377568,0.010756083377568
151,Feature_152,0.0106075154863758,0.0106075154863758
106,Feature_107,0.0105459298847991,0.0105459298847991
92,Feature_93,0.0103533784098649,0.0103533784098649
95,Feature_96,0.0103265555388323,0.0103265555388323
190,Feature_191,0.0097754038497827,0.0097754038497827
25,Feature_26,0.0094662213100092,0.0094662213100092
35,Feature_36,0.0091002068195219,0.0091002068195219
17,Feature_18,0.0089491561760436,0.0089491561760436
110,Feature_111,0.0089255737149403,0.0089255737149403
15,Feature_16,0.0087110249884863,0.0087110249884863
52,Feature_53,0.0085373593059944,0.0085373593059944
6,Feature_7,0.0084196124252588,0.0084196124252588
33,Feature_34,0.0084167995343177,0.0084167995343177
34,Feature_35,0.0084084029840574,0.0084084029840574
102,Feature_103,0.0082826910839193,0.0082826910839193
193,Feature_194,0.0081554938147295,0.0081554938147295
39,Feature_40,0.0081271080676552,0.0081271080676552
67,Feature_68,0.0080692128905259,0.0080692128905259
31,Feature_32,0.0080654223315762,0.0080654223315762
12,Feature_13,0.0079867623941577,0.0079867623941577
108,Feature_109,0.007976025858452,0.007976025858452
